,headline,body
175,"Railway contractors' body threatens strike, claims bills worth  ₹25,000 crore pending","GUWAHATI :Railway contractors' association IRIPA on Wednesday threatened to go on a nationwide tool-down strike on March 6, claiming that bills amounting to nearly  ₹25,000 crore are yet to be cleared by the national transporter. At a press conference here, IRIPA vice president Mahesh Kumar said the contractors will observe the token strike across the country and a further decision will be taken as the situation arises.Without payment, no construction work will continue in the railways, he said.Kumar said the Indian Railway Infrastructure Providers Association (IRIPA) has been urging the railways for a long time to resolve the issue of pending bills but no relief has been granted.He said that the IRIPA wrote to the Railway Board chairman on the issue on February 29, but the contractors were told that budget provisions have fully been utilised and no more funds exist.""The department is insisting us to carry on the work without releasing any further payments,"" he claimed.The bills raised by the members of the association are withheld citing non-availability of funds, IRIPA secretary Pawan Bharatiya alleged.""Small contractors who have undertaken contracts for repair and maintenance works are suffering due to non-payment of their outstanding bills,"" he said.""Due to such non-payment, the contractors will have no other option but to stop the day-to-day works that may compromise the safety of train operations...,"" Bharatiya said.If the association is compelled to go for the strike, its members who have contracts related to sanitary and laundry works, and involved in operations of revenue nature will join in and even those contractors who have been paid will show their solidarity by joining the strike, he claimed.The members of the IRIPA are engaged by subsidiaries of the Indian Railways and other related organisations for the execution of work contracts of capital nature, Kumar said. "
176,Lufthansa to ground 150 planes over coronavirus,"German airline giant Lufthansa said Wednesday it would ground 150 of its more than 750 planes worldwide, days after announcing a slimmed-down timetable over the effects of the novel coronavirus. ""25 long-haul aircraft and 125 short- and medium-haul aircraft"" will no longer fly, a spokesman for the group also including carriers Eurowings, Austrian and Swiss told AFP.Shares in Lufthansa have plunged in recent days as the likely impact of the COVID-19 disease on the aviation sector in particular has become clearer.The stock was up slightly in afternoon trading in Frankfurt, adding 0.6 per cent to trade at 11.98 euros (USD 13.29) just after 3:30 pm (1430 GMT) but slightly underperforming the DAX blue-chip index.It remains around 27 per cent lower than at the start of the year.On Monday, Lufthansa said it would slash its flight plan by 25 per cent, especially on short- and medium-haul routes including to virus-hit areas of Italy but also within Germany.The group has suspended routes to other virus hotspots, including China and Iran, to late April.Lufthansa has also suspended new hires as part of its measures to cushion the business impact of the virus, which it said Monday was ""not yet possible to estimate"".The International Civil Aviation Organization has said that the virus outbreak could mean a USD 4-5 billion drop in worldwide airline revenue. This story has been published from a wire agency feed without modifications to the text."
177,"Jabra launches Elite Active 75t wireless earbuds in India for  ₹16,999","New Delhi:  Refreshing the wireless earbuds series in India, Denmark-based Jabra, a subsidiary of GN Netcom that makes in-ear and on-ear audio wearables, on Wednesday launched 'Elite Active 75t' in the country for  ₹16,999. The device will be available at Amazon starting March 11. It will be available at Croma, Flipkart and Jabra-authorised resellers from the third week of April.The earbuds will be available in six colours: Navy, Copper Black (Amazon exclusive), Titanium Black, Grey, Sienna and Mint.According to the firm, like the original Elite 75t earbud, the Active version brings the same great calls and music that is now expected from Jabra but is optimised for work-out and fitness use.""Jabra Elite Active 75t is our most optimal true wireless earbuds yet and we are proud to be launching it in the India market. Specifically designed for an active lifestyle, the Elite Active 75t is a testament to Jabra's engineering expertise, with its enhanced comfort, first-class noise isolation and great sound,"" Amitesh Punhani, Country Marketing Manager, India and SAARC at Jabra, said in a statement.Built with a durable coating providing optimised grip, the earbuds are also dust and sweat resistant, while simultaneously extending battery life by 89 per cent (up to 28 hours).The device has also IP57 durability and 2-year warranty against dust and water. There's a futuristic fast USB-C charging too.The earbuds were also designed to further enhance comfort through its optimal earbud shape and size, which also provides a first class noise isolation.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
178,Netflix and Amazon seek passage to India for new growth,"SINGAPORE :Netflix and Amazon are battling a dizzying array of homegrown outfits, from Bollywood producers to broadcasters, for dominance of India's streaming market, a key target as growth in Western countries slows. As more Indians shift to viewing movies and shows online, industry revenues from streaming in the country are set to jump from $500 million in 2018 to as much as $5 billion in 2023, according to Boston Consulting Group.With many Western markets saturated and Asia's top economy China effectively closed off to foreign streamers, a nation of 1.3 billion where phone ownership is forecast to rocket makes for a tantalising prize.""India is super important, for both Netflix and Amazon,"" Tony Gunnarsson, a streaming analyst from consultancy Ovum, told AFP at the recent Asia TV Forum in Singapore.""Netflix... need to continue to generate new subscribers, and there is no better place than India."" But the US giants face tough competition in the vast, ethnically and religiously diverse country where the streaming scene is rapidly evolving.There are dozens of subscription streaming services in India, according to Ovum, and some domestic outfits have more experience in producing content tailored for local audiences and in the country's myriad languages.A major player is Hotstar -- originally a homegrown outfit which later became part of the Disney empire -- which has attracted an army of followers in part by streaming Indian Premier League cricket matches live.Other Indian rivals include ZEE5, run by major broadcaster Zee Entertainment, and ALTBalaji, the video-streaming service of Bollywood producers Balaji Telefilms.As well as offering their services direct to consumers, streamers are bundling their content with mobile phone services in a bid to broaden their reach.Netflix, the world's biggest subscription streaming service, has made expanding in India a priority and aims to attract 100 million subscribers in the country -- an ambitious goal given analysts estimate it will only reach about seven million this year.The company made a mark with its first Indian original ""Sacred Games"", a hugely popular series about a troubled police officer starring top Bollywood actors, and has a slate of new productions in the works.They plan to invest 30 billion rupees ($420 million) in Indian content in 2019 and 2020.""This is India's golden age of entertainment,"" Srishti Arya, Netflix India's director of international original film, told AFP.""There are so many opportunities in streaming, creators are not restricted by length, duration."" Fellow US titan Amazon also has a strong foothold in India with its Prime Video service and, like Netflix, typically appeals to wealthier urbanites who want to see Western as well as Indian content.It is planning to release around one Indian original production a month over the coming year, and is ramping up its production of shows in regional Indian languages.Netflix has been lagging behind Amazon in terms of subscriber numbers but looks set to move ahead from 2021, according to Ovum.Nevertheless both will likely struggle to catch up to Hotstar, which reached 300 million active monthly users last year, although the Indian streamer works on a different model, offering some content for free and other shows only to subscribers.To compete in a crowded market, the US titans are offering their services for less than in the West -- Netflix introduced a package for India priced at only 199 rupees ($2.80) a month, which allows consumers to watch only on a phone or tablet, and Amazon Prime is 999 rupees ($14) for a year.And the scene is about to get even more competitive with the launch of the Disney+ streaming service in India next month via Hotstar."
179,Freshworks India arm reports net profit of  ₹30 cr,"BENGALURU :Ahead of a possible initial public offering (IPO) in the U.S next year, the India arm of software-as-a-service (SaaS) unicorn Freshworks Inc. has reported net profit of  ₹30 crore on a standalone basis for the year ended 31 March, 2019. This is a 76% increase from  ₹17 crore net profit in 2017-18.For the 2018-19 fiscal, Freshworks Technologies Pvt Ltd clocked revenue of  ₹404.7 crore, 59% up from  ₹254 crore in the year-ago period, according to data accessed by business intelligence platform, Tofler.The company’s total expenses for the period was  ₹364 crore, up 61% from  ₹226 crore in the previous fiscal, on higher employee benefit expenses.Freshworks turned profitable in FY18. It is now the second unicorn (startups valued at a billion dollars) to report profits after ed-tech company, Byju's.In November, 2019, the Chennai- and California-based company raised $150 million in a series H funding round led by Sequoia Capital, CapitalG, and Accel, at a valuation of $3.5 billion. Over the past year, the company acquired two US-based firms - artificial intelligence (AI) startup AnsweriQ Inc, and customer success management software company, Natero, Inc. Freshworks has more than 2,700 employees across 13 offices around the world.Freshworks is also one of the growing number of successful SaaS companies in the country alongside firms such as Zoho, Druva, Clevertap and Kaleyra. Funding activity in SaaS has been on a high lately, and it recently crossed the $1 billion mark in 2019.Industry observers also point out that SaaS companies have a better path to profitability and market reach compared to tech firms in the consumer Internet segment. Hence SaaS brands are increasingly becoming attractive to several existing Internet venture capital firms.An e-mailed statement from Freshworks said: ""We are a global company headquartered in San Mateo, California (USA). With our subsidiaries in UK, Europe, India and Australia, we realise revenue from business operations across these regions. The financial information reported publicly via regulatory disclosures in a particular region does not accurately reflect the overall performance of the company. As a private company, we do not disclose our global consolidated financials at this time."""
180,Lok Sabha passes direct tax dispute resolution scheme,"NEW DELHI :The Lok Sabha on Wednesday cleared the Direct Tax Vivad Se Vishwas Bill, 2020 that offers a scheme to settle 483,000 direct tax related disputes giving relief on part of the amounts due as well as immunity from prosecution. Lok Sabha cleared the Bill amid uproar by the Opposition parties over the recent sectarian violence in Delhi. The Bill tabled in Parliament last month aims to resolve disputes with an outstanding direct tax arrears of Rs9.32 trillion, a part of which could come to the exchequer if the scheme is a success. It could also spare courts and tribunals of prolonged direct tax litigation.The scheme allows beneficiaries to pay the disputed tax arrears without interest and penalty if paid before 31 March and if paid in the first quarter of FY21, the amount due will go up by 10%. In case the tax dispute is over penalty, interest or fee, the settlement amount payable is 25% of the dues if paid before the end of March. If paid in the next quarter, the payable amount will go up to 30%.According to experts, taxpayers have limited time to make use of the scheme by March end and an extension to April end would be a welcome move. Samir Kanabar, tax partner at EY India said rules and frequently asked questions (FAQs) will have to be issued to clarify operational as well as administrative aspects of the scheme.Revenue Secretary Ajay Bhushan Pandey had earlier said that suggestions received from industry will be considered for inclusion in a set of guidelines to make the scheme a success. The suggestions received includes a demand for inclusion in the scheme of disputes where assessment orders have been made but appeals have not yet been filed."
181,"Skype, WhatsApp, FaceTime ban under fire as UAE extends virus curbs","An order to shut schools to prevent the spread of coronavirus in the Middle East’s premier business and travel hub has reignited a debate about an existing ban on free voice calls over the internet that complicates remote learning and working from home. All public and private schools and higher education institutions will close in the United Arab Emirates from March 8 for a month as officials attempt to curb infections, which currently stand at 27 in the country.A pilot program for distance education will be implemented during the period of closure, the Education Ministry said, without giving full details. Nurseries have been closed since March 1, leaving working parents grappling to find childcare at short notice.The Gulf state, where 85% of the population are foreigners, blocks calls using applications such as Microsoft Corp.’s Skype, Facebook Inc.’s WhatsApp and Apple’s FaceTime. The banned video services are encrypted, making them difficult for security services to track. But the curbs have long been a grievance for expatriates who want to keep in touch with family and friends back home and work more flexibly.“I highly recommend that the U.A.E. now re-visits its ban on VOIP video calls in light of the spread of coronavirus. If we want people not to meet in person let them conduct their business online,"" Emirati columnist Sultan Sooud al-Qassemi wrote on Twitter to his 490,000 followers on Wednesday. Global companies such as Twitter and JPMorgan are encouraging staff to log on from home.One third of Gulf companies are planning work from home to combat the virus threat, online recruitment portal GulfTalent said in a survey of 1,600 executives in the six-nation Gulf Cooperation Council released on Wednesday. And in a further sign of the outbreak’s impact on regional business, Abu Dhabi-based Etihad said it had asked cabin crew to bring forward leave amid passenger cancellations.The U.A.E.’s Telecommunications Regulatory Authority, which governs and oversees the sector, didn’t immediately respond to a request for comment.Using the banned video-calling services -- part of virtual business life elsewhere in the world -- is possible in the U.A.E. through a virtual private network. But this is a cyber-crime which can lead to a fine of between 500,000 ($136,000) and 2 million dirhams, jail time, or both, a 2019 report by the U.S.-based watchdog Freedom House said.The encrypted services provide competition to the two main domestic telecommunications providers. Government-sanctioned applications are available for a subscription of around 50 dirhams a month. A free application, ToTok, was available in the U.A.E. but removed from Google Play and Apple’s App stores after allegations it was a secret spying tool for the U.A.E. It reappeared in January and the company has said users should ignore a warning message on Google Play and install it anyway.It’s not the first time the U.A.E. ban has come under fire. Billionaire U.A.E. businessman Khalaf Al Habtoor, founder of the Al Habtoor Group conglomerate, reiterated a call last year for the restrictions to be lifted in a video he posted on Twitter.In a 2019 report, Oxford Business Group wrote that residents and businesses in Dubai would likely continue to press for change. It cited the example of Microsoft which has held talks with authorities over unblocking Skype, and pointed out that neighbor Saudi Arabia scrapped its ban on internet calling applications in September 2017.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
182,Coronavirus update: Paytm employee in Gurgaon tests positive,"GURGAON :A Paytm employee in Gurgaon has tested positive for novel coronavirus, the company said in a statement on Wednesday. The employee had recently returned from a vacation in Italy, one of the worst-hit countries from coronavirus. Paytm spokesperson said, ""One of our colleagues based out of Gurgaon office who recently returned from Italy post a vacation has sadly been tested positive for Coronavirus. He is receiving appropriate treatment and we are extending complete support to his family. As a precautionary measure, we have suggested his team members to get health tests done immediately. We have also advised all our colleagues to work from home for a couple of days while we get our offices sanitized. However, there will not be any impact on our daily operations and Paytm services will continue as usual.""The company said all its six offices will remain closed for sanitising purposes and announced two-day leave for all its employees. Paytm currently has five offices in Noida and one in Gurugram.In India, at least 29 confirmed cases of COVID-19 have been reported in India till Wednesday."
183,"Govt asks Airtel, Vodafone Idea, others to pay balance AGR dues without delays: Report","NEW DELHI :The department of telecommunications (DoT) on Wednesday ordered Vodafone Idea Ltd, Bharti Airtel Ltd and other telecom operators to immediately clear all dues to the government arising from the Supreme Court’s October order. “You are directed to provide the details of the payment made as required by above mentioned DoT letter dated 20.01.2020, and also pay balance amount without any further delay,"" DoT said in a letter to telcos, a copy of which was reviewed by Mint. The 3 March letter does not specify how much more operators need to pay.The latest DoT diktat comes even as the government discusses measures to alleviate the stress in the industry following a court order directing telecom companies to pay licence fee and spectrum usage dues totalling  ₹1.4 trillion.Airtel has so far paid  ₹18,004 crore to DoT, while Vodafone has deposited  ₹3,500 crore. Airtel claimed it has cleared all its dues to DoT and has the supporting documents to prove it, although the department pegs its total dues from the company at  ₹35,586 crore.But the latest DoT letter is likely to put Vodafone Idea in a difficult situation as the company has only been able to clear a fraction of its dues and lacks the ability to immediately clear all its dues. Vodafone Idea, which owes DoT an estimated  ₹50,000 crore in dues, is banking on the government to offer some relief in terms of easier payment terms and waiver of interest and penalty on dues.Vodafone Group Plc chief executive officer Nick Read plans to visit India on 6 March and has requested a meeting with telecom minister Ravi Shankar Prasad to discuss the crisis, Mint reported on 3 March.Vodafone Idea, formed by merging Vodafone India with Idea Cellular of Aditya Birla Group, has been on the brink of collapse following the unfavourable court verdict. Controlling shareholders Vodafone Group and Aditya Birla Group, have ruled out further equity infusions into the struggling telecom operator.In its judgement, the Supreme Court upheld the government’s definition of adjusted gross revenue (AGR), on which it calculates levies on telcos. The order dealt a blow to the telecom industry, which argued that AGR should only include revenue from core telecom operations and not rental or dividend income. Telcos now have to pay dues for the past 14 years.The latest DoT letter indicates lack of coordination among the various arms of the government. Officials in the finance ministry and the Prime Minister’s Office have been brainstorming on steps to pull the industry out of its morass. “Several proposals are being discussed to provide the sector with immediate relief from the AGR dues,"" a person aware of the matter said, requesting anonymity.This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
184,"Coronavirus update: Face masks, hand sanitiser allowed during board exams, says CBSE","NEW DELHI :Students appearing for class 10 and 12 board examination will be allowed to carry masks and hand sanitiser in the exam centre in view of coronavirus scare, the Central Board of Secondary Education (CBSE) announced on Wednesday. @cbseindia29 @HRDMinistry @PTI_News @DrRPNishank @DDNewslive @airnewsalerts pic.twitter.com/Qo6xoqKcrM— CBSE HQ (@cbseindia29) March 4, 2020 ""Face masks and sanitisers may be carried by students in the examination centre,"" CBSE Secretary Anurag Tripathi said.Class 10 and 12 board examinations began on February 15."
185,"I-T unearths over  ₹3,500-crore TDS default by oil, telecom firm in Delhi","NEW DELHI :The Income Tax Department has detected TDS default of more than  ₹3,500 crore after it surveyed a major oil company and a telecom operator in the national capital, the CBDT said on Wednesday. It called these instances a ""major breakthrough"".In the case of the oil firm, the CBDT said that Tax Deducted at Source (TDS) default of about  ₹3,200 crore was detected.""The defaults included short deduction of tax and non-deduction of tax, respectively. Short deduction of tax pertained to TDS under section 194J (of the I-T Act) for several years on payment of fee for technical services for installation and maintenance of high-tech oil refineries, payments for chemical process of re-gasification and transportation of LNG,"" it said.""Default of non-deduction was detected on composite contracts involving service and purchase of products on which TDS at the rate of 2 per cent should have been deducted, but which was not deducted resulting in the said default,"" the CBDT said in a statement.In the case of the telecom firm, the TDS default amounts to  ₹324 crore.""The company did not make the required TDS of 10 per cent under section 194J of the I-T Act on technical contracts worth  ₹4,000 crore. The amount is further liable to go up once the enquiry is completed,"" it said.The Central Board of Direct Taxes (CBDT), which frames policy for the tax department, did not name the entities involved.In a similar action, the department found several hospitals in Delhi were ""openly flouting"" norms of TDS and Tax Collected at Source (TCS) and were paying less tax to the department.""During survey at two premier hospitals, one with more than 2,500 bed capacity and another with 700 beds, it was found that the former was not making any TDS on construction contracts as statutorily required while the latter was deducting tax at the rate of 10 per cent only on salary paid to doctors, instead of the present TDS rate of 30 per cent applicable for salary payments,"" the CBDT said.It added that enquiries made during the survey revealed that the terms of appointment between the hospital and the doctors indicated an employer-employee relationship on which the hospital was required to deduct tax at 30 per cent instead of 10 per cent as was being made by the hospital.""TDS defaults of  ₹70 crore and  ₹20 crore, respectively were detected in the said hospitals,"" the statement said.Further probe found that the hospitals were also ""not making"" the required TDS at 10% from the maintenance charges paid for the hi-tech sophisticated operation theatre and diagnostic equipments.It had also been seen that many hospitals were still not complying with the TCS norms that came into effect from June 1, 2016 under which, on any cash payment received in excess of  ₹2 lakh, the hospital was required to collect TCS at the rate of 1 per cent and deposit it to the government account.The department detected similar irregularity or TDS default in the case of a real estate group of Delhi against which it conducted a survey early this week.""Verification and analysis indicated outstanding TDS liability and interest payable of  ₹214 crore,"" it said.The CBDT said the department has stepped up enforcement action against TDS default cases as this category of revenue contributes to more than 45% of the total direct tax collection in the country.As per the rules, it said TDS has to be paid to the credit of the central government within seven days from the end of the month in which the deduction is made."
186,"Focus now shifts to digital from India vs Bharat, says Hardika Shah","Hardika Shah, founder and CEO, Kinara Capital today said that the focus of the country has shifted from the earlier notional idea of India vs Bharat to a digital perspective. Speaking at the Mint India Investment Summit 2020 in Mumbai, Shah said, ""The internal culture building is very critical...sometimes thinking you are still a startup is your worst enemy."" She also added that there is a level of structure that's needed - Cultural structure.Shah was participating in a panel discussion with Aditya Ghosh, Board Member, Oyo Hotels and Homes, Sumer Juneja, partner and ead of India, Softbank Investment Advisors and Kosturi Ghosh, Partner, Trilegal.Apart from Shah, Aditya Ghosh also highlighted, ""India still remains a fundamentally supply constrained market."" He also added that with the use of technology one can create really exciting businesses and laid down two important perspectives: How to stay relevant in the life of a consumer and businesses with deep social impact will thrive.Moreover, Sumer Juneja spoke about organisational importance of companies. He said that important three pillars for any company are first, the consumer, second the product and third, the employees.Juneja also spoke about the country's education and healthcare system saying that in a decade's time, the way education and healthcare is delivered in India, it is going to change dramatically and will be available for everyone.Kosturi Ghosh during the summit said that mindset of compliance should come in the forefront of the conversation."
187,"Flatmate, colleague of Covid-19 positive patient in Hyderabad, test negative in Bengaluru 

","BENGALURU :The Karnataka health department on Wednesday said that tests conducted on two individuals, who had come in contact with the Bengaluru-based techie to have been infected with Covid-19, have tested negative. The flatmate of the patient, currently in Hyderabad, was asymptomatic, said health department officials.“There is no positive Covid-19 positive case in Karnataka yet,"" said Dr.Sudhakar, Karnataka’s medical education minister.The government added that the test results of one of the 25 colleagues of the COVID-19 positive patient, who showed symptoms, has also been negative.The statements bring some relief to the city at a time when several new cases have been reported across the country, heightening the fear around the virus that has so far claimed over 3,000 lives globally.The results of two other patients--one who travelled to India from Saudi Arabia and another from Japan--lodged in a healthcare facility in Bengaluru are still awaited.One Iranian national has already tested negative and reports of his mother, suspected to have contracted the virus in Iran, has also tested negative, officials said. They added that they would be able to release the Iranian national only after mandatory clearances are given.The Karnataka government, like many other states, has gone into an overdrive to contain and deal with the spread of the virus by putting in place several measures.Sudhakar had earlier stated that health authorities will now screen every single passenger arriving at the two main airports in the state--Bengaluru and Mangaluru--as well other points of entry including ports.“Online Shopping of Products from the affected countries may be avoided,"" T.M.Vijay Bhaskar, Karnataka’s chief secretary, said in a statement on Wednesday.He added that people residing in three kms locality will be screened and house visits will be made in the five kms buffer zone, where persons with confirmed case of this virus are spotted. The Bengaluru Metropolitan Transport Corporation, metro rail and the Karnataka State Road Transport Corporation have already taken action to clean their buses by washing with chemicals and other products, he added.Sudhakar had earlier stated that health authorities will now screen every single passenger arriving at the two main airports in the state--Bengaluru and Mangaluru--as well other points of entry including ports.He said that all international passengers arriving from any of the 11 most affected counties will be tested and advised to go into home isolation as a precautionary measure.“Online Shopping of Products from the affected countries may be avoided,"" T.M.Vijay Bhaskar, Karnataka’s chief secretary, said in a statement on Wednesday.He added that people residing in three kms locality will be screened and house visits will be made in the five kms buffer zone, where persons with confirmed case of this virus are spotted.Though unverified news of companies asking their employees to work from home flew thick and fast, few corporations have actually made such an offer to its staff, let alone make it mandatory.The Karnataka Health and Family Welfare department on Tuesday said that it was I touch with most IT companies and has issued guidelines and travel advisories.""You should definitely send your children to school as long as they are hale and hearty,"" Pankaj Kumar Pandey,Commissioner for health and family welfare in Karnataka said in a Facebook address on Wednesday. ""If a child has a cold, cuff or flu then don’t send them to school and send them only after they are cured, "" he said.The health department also added that it will come down hard on those spreading rumours that would add to the confusion around the crisis.The Karnataka government said that it is coordinating with defece forces and setting up isolation wards within their respective campuses in Bengaluru and other parts of the state.""A state nodal team and rapid response team has been formed,"" Sudhakar said on Wednesday in the ongoing budget session of the state legislature.The department is conducting review meetings on a daily basis.The state government has given orders to monitor places of mass gatherings like Airports, Bus Stations, Ports, Railway Stations, Malls and Multiplexes, which are exposed to risk and where there is chance of local transmission of this ' imported virus ', it said in a statement on Wednesday."
188,Lodha Developers markets bond that’s key to dodging default,"MUMBAI :India’s top builder is marketing a complex debt offering that it needs to complete successfully to avoid a default. The new bond from Lodha Developers International Ltd. will be key for it to refinance its existing $324 million note maturing 13 March. The company also needs to meet conditions involving setting aside cash before it can tap the proceeds of the bond.“We feel very good about the level of interest and commitments we have so far,"" said Abhishek Lodha, chief executive officer of Macrotech Developers Ltd., which is the flagship company of the Lodha group. He was referring to the group’s ability to close the bond sale in a difficult market that faces the fallout of the coronavirus outbreak.Even before the virus contagion, Indian real estate developers had been grappling with slowing demand as the country’s economic growth slumps to a decade low and a lingering credit crisis constrains spending. At least  ₹10.5 trillion ($143 billion) of debt is vulnerable to default over the next three years, according to India Ratings, a local unit of Fitch.Lodha may fend off its near-term debt maturity, but refinancing risks remain high, according to Moody’s Investors Service. Selling the new note is key because Macrotech has no alternate financing arrangements, and if the new issue were derailed or if Lodha were to fail to meet the conditions, it would likely slip into a default, Moody’s said. Some of those conditions were unmet as of Feb. 28, it said.The proposed new note is “subject to significant execution and market risk, creating uncertainty around Macrotech’s ability to complete the bond transaction as planned,"" said Sweta Patodia, an analyst at Moody’s.Under the proposed bond terms, Lodha needs to set aside $118 million in cash before it can sell the new bond. It still needed to find about $32 million as of Feb. 28, according to Moody’s calculations.Lodha says the deal’s structure should reassure investors. “The comfort is that we will put the money first and then the new bondholders will put their money,"" said Abhishek Lodha. “That’s as strong a comfort as one can give.""Lodha’s 12% notes maturing next week were indicated at a discount of about 10% of face value on Wednesday, according to two Hong Kong-based traders, who asked not to be identified as they are not authorized to speak to the media.Moody’s rates Lodha’s proposed bond Caa1, seven steps below investment grade, with a negative outlook. It cited the market risk, and uncertainty about Macrotech’s refinancing plans over the next 12 months in the face of about $1 billion in debt maturing through March 2021.Abhishek Lodha said the group has a strong track record in paying down its debt, citing positive cash flows over the last two quarters, which helped it pay back $355 million at Macrotech over the period.Lodha group is the country’s largest residential real estate developer with sales of about 119 billion rupees in the twelve months ended March last year, according to a Grohe Hurun report."
189,Coronavirus update: Govt for universal screening at all intl airports to contain the virus,"NEW DELHI :Principal Secretary to the Prime Minister P.K. Mishra on Wednesday chaired a crucial meeting called to discuss ways to combat the deadly coronavirus, where it was decided to introduce universal screening at all international airports of the country. Wednesday's meeting was attended by the Cabinet Secretary, Foreign Secretary, Secretaries of Ministries of Health, Civil Aviation, Information and Broadcasting, Shipping, Tourism, Chairman (Airport Authority of India), Secretary (Border Management), MHA.Senior officials from defence forces, National Disaster Management Authority (NDMA), Niti Ayog and the Prime Minister's Office also attended the meeting.Two major changes have been made to further enhance government's level of preparedness. These include introduction of universal screening at all international airports and sea-ports through use of thermal imagery equipment as well as mandatory filling of declaration forms of places visited by tourists and travellers returning from abroad.It was also decided to rapidly implement opening of proper testing, isolation and quarantine facilities in various parts of the country, down to the district level, in partnership with state governments.Ministries such as MHA, MoD, Railways and Labour would work with Ministry of Health through the use of their facilities and hospitals, it was decided in the meeting.While efforts to contain the spread of the virus were appreciated, it was decided at the meeting to further enhance the effectiveness of the steps taken by adopting a pan-government approach, in partnership with the states. The Ministry of Home Affairs was tasked to work closely with state governments, including relevant district administration officials, to ensure compliance with screening protocols at Integrated Check Posts (ICPs).The meeting took note of confusion among the people over lack of proper knowledge of the virus. The Ministry of Information and Broadcasting is entrusted with disseminating information to the general public in a timely manner, including relevant advisories and 'dos and don'ts'.""The Ministry of Health briefed the meeting on the positive impact of a 24-hour medical helpline, operational across the country since January 23 with ten dedicated telephone lines. These facilities have received over 6,000 phone calls,"" said a government release.Participation of communities and local bodies were also stressed in the meeting to combat the public health challenge posed by the virus.Earlier on Monday, PM Modi tweeted: ""Experts across the world have advised to reduce mass gatherings to avoid the spread of COVID-19 Novel Coronavirus. Hence, this year I have decided not to participate in any Holi Milan programme."" On Tuesday, he urged people not to panic.Wednesday's meeting was the latest in a series of stock-taking meetings at the PMO, with the first held on January 25.The first case of coronavirus in Delhi was detected on Monday. Six suspected cases are also detected in Agra, who came in contact with the person from Delhi found to be infected. As of today, 28 cases of coronavirus have been reported across India including the Italian nationals who are now been quarantined.So far, 3,110 people have died across the globe due to the highly contagious virus."
190,Should you buy a Coronavirus-specific health insurance policy?,"NEW DELHI :More and more people are testing positive for COVID-19 (popularly known as Coronavirus) globally. According to the World Health Organisation (WHO) report, as many as 1,792 new cases were reported outside China on Tuesday alone. In India, the total number of confirmed cases was at 28 as on Tuesday. Taking cue from the increasing panic and rapid spread of the virus, insurers have started offering specific products for Coronavirus alone. Digit Insurance, under the Inusrance Regulatory and Development Authority’s Sandbox regulations, has launched a defined-benefit health insurance policy for Coronavirus. Policyholder gets the full sum insured on being tested positive for the illness after which the policy terminates.The premium for the policy starts at Rs. 299 (including taxes) for a sum insured of Rs. 25,000. You have the option to increase your sum insured up to Rs. 2,00,000 and the premium will be calculated accordingly. For example, for a 50,000 sum insured, you will pay a premium of about Rs. 599.“One restriction which comes with a regular health insurance policy is that it requires 24 hours hospitalization for you to be able to file a claim. Some policies do include out-patient (OPD) expenses but most products which include OPD expenses don’t have many takers because the premium is relatively higher,"" said Vivek Chaturvedi, head of marketing and direct (online) sales, Digit Insurance. Within 24 hours of its launch, Chaturvedi said the company has sold over 200 policies.WHAT THE POLICY COVERSThe policy is valid for one year and the cover will be exhausted after the payment of 100% sum insured. Anyone below the age of 75 can avail the product which comes with a 15 days waiting period. The product comes with a defined benefit which means if you’ve been tested positive for coronavirus and file a claim, you’d be eligible for 100% of the sum insured. In case you’re quarantined which could lead to loss of income, you will be eligible for 50% of the sum insured.However, note that the policy comes with a host of terms and conditions. In order to be eligible for the claim, the insured should not have been in contact with anyone with suspected history of COVID- 19 till the end of the policy tenure. Also, the insured or their immediate family members should not have travelled to countries such as China, Japan, Singapore, Thailand, Malaysia, Hong Kong, Macau, Italy, Iran, Behrain, Kuwait, Taiwan since 1December 2019. Policyholders suffering from symptoms such as cough with or without sputum, cold or nasal block, fever with pody pain and shortness of breath for the last six weeks will also not be eligible.“The product has many exclusions making the plan very specific. Consequentially, it may not be a product that everyone will look forward to buying,"" said Rakesh Goyal, director, Probus Insurance, an Insurtech broking companyIf you travel abroad after buying the policy and end up contracting the virus, you will be covered only if you’ve traveled to any country other than China, Japan, Singapore, Thailand, Malaysia, Hong Kong, Macau, Italy, Iran, Bahrain, Kuwait, and Taiwan, said Chaturvedi.SHOULD YOU GO FOR IT?Note that this is a disease-specific plan and comes with a list of exclusions which could make it difficult for you to file a claim. If you already have a standard health insurance plan, it makes little sense to go for this. “As of now, all health and general insurance companies are ready to support the insured in case of any claims filed for Coronavirus under their health plan,"" said Goyal.You could consider this product if you don’t have a health insurance policy in place and are worried about contracting the virus. However, Mint recommends going for a standard health plan first as it would cover you for hospitalization under any condition. Many health policies now also cover for pre and post-hospitalisation expenses.Shwta Jain, founder and CEO, Investography, a financial planning firm agrees. ""There are just too many exclusions and for a disease that's easy to contract (Coronavirus), the policy has gaps which will leave very few people eligible for the cover. One must ensure she has a standard health cover in place before going for a disease-specific policy."""
